Disease,Description
(vertigo) Paroymsal  Positional Vertigo,Inner‑ear disorder causing brief spinning sensations triggered by certain head‑position changes.
AIDS,Advanced stage of HIV infection marked by severe immune suppression and opportunistic infections.
Acne,"Inflammatory skin condition where clogged pores lead to pimples, blackheads and cysts."
Alcoholic hepatitis,"Liver inflammation from prolonged heavy alcohol use, producing jaundice, pain and liver dysfunction."
Allergy,"Immune overreaction to harmless substances such as pollen, food or dust, causing rash, sneezing or swelling."
Arthritis,"Chronic joint inflammation causing pain, stiffness and reduced mobility."
Bronchial Asthma,"Chronic airway inflammation leading to episodic wheezing, cough and breathlessness."
Cervical spondylosis,Age‑related wear of neck spinal discs and joints causing neck pain and stiffness.
Chicken pox,Highly contagious varicella‑zoster infection causing itchy blister rash and fever.
Chronic cholestasis,Long‑term reduction or blockage of bile flow leading to jaundice and intense itching.
Common Cold,"Self‑limiting viral upper‑respiratory infection causing runny nose, sore throat and sneezing."
Dengue,"Mosquito‑borne viral illness with high fever, severe headache, joint pain and risk of bleeding."
Diabetes ,Metabolic disorder where the body cannot properly regulate blood glucose due to insulin issues.
Dimorphic hemorrhoids(piles),"Swollen veins in the rectum or anus, internal or external, causing pain or bleeding."
Drug Reaction,"Adverse response to a medication, ranging from mild rash to severe systemic effects."
Fungal infection,"Overgrowth of pathogenic fungi on skin, nails or mucosa causing itching and redness."
GERD,Chronic reflux of stomach acid into the oesophagus causing heartburn and irritation.
Gastroenteritis,"Inflammation of stomach and intestines, usually infectious, leading to diarrhea and vomiting."
Heart attack,Acute blockage of coronary blood flow causing death of heart muscle tissue.
Hepatitis B,"Viral liver infection spread by blood or body fluids, can become chronic and cause cirrhosis."
Hepatitis C,"Blood‑borne viral liver infection that often becomes chronic, risking cirrhosis and cancer."
Hepatitis D,"Defective virus that infects only alongside hepatitis B, worsening liver disease."
Hepatitis E,"Self‑limiting viral hepatitis transmitted via contaminated water, severe in pregnancy."
Hypertension ,Persistently elevated arterial blood pressure increasing cardiovascular and renal risk.
Hyperthyroidism,"Excess thyroid hormone production causing weight loss, heat intolerance and palpitations."
Hypoglycemia,"Abnormally low blood glucose leading to sweating, tremor, confusion and possible fainting."
Hypothyroidism,"Thyroid hormone deficiency causing fatigue, weight gain and cold intolerance."
Impetigo,"Contagious bacterial skin infection with honey‑colored crusts, common in children."
Jaundice,Yellowing of skin and eyes due to elevated bilirubin from liver or bile duct problems.
Malaria,"Parasite transmitted by Anopheles mosquitoes causing cyclical fever, chills and anemia."
Migraine,"Recurrent throbbing headache often with nausea, light sensitivity or visual aura."
Osteoarthritis,Degenerative joint disease where cartilage breakdown leads to pain and limited movement.
Paralysis (brain hemorrhage),Loss of muscle function due to bleeding in the brain damaging motor pathways.
Peptic ulcer disease,Erosion of stomach or duodenal lining by acid causing burning upper‑abdominal pain.
Pneumonia,"Infection of lung tissue leading to cough, fever, chest pain and difficulty breathing."
Psoriasis,"Chronic autoimmune skin disease causing red scaly plaques on elbows, knees or scalp."
Tuberculosis,"Chronic Mycobacterium tuberculosis infection, primarily in lungs, causing cough and weight loss."
Typhoid,"Systemic Salmonella typhi infection from contaminated food or water, producing prolonged fever."
Urinary tract infection,Bacterial infection of bladder or kidneys causing painful urination and possible fever.
Varicose veins,"Enlarged, twisted surface veins in legs due to valve failure, leading to swelling and discomfort."
hepatitis A,"Acute viral liver infection spread by contaminated food or water, usually self‑limited."
